"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
OAS-Office of Administrative Services,Central Office,Planning,Leasing of Mail Metered Machines,Washington,DC,,Small Business,Firm Fixed Price,Basic Ordering Agreement,Set-Aside,18000,20000,,Neopost,,Recompete,GSA funded,March,,FY 2016-2nd Quarter,Sandy Wilkins,Sandy.wilkins@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,FAS Avaya yearly call center maintenance and support services,Washington,DC,541513,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,209046,330000,,Avaya,GSH0015AAM0003,New Requirement,GSA funded,TBD,,FY 2016-2nd Quarter,Sherry Shackleford,sherry.shackleford@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Awarded,CA IT Client Manager (ITCM) Maintenance Renewal,Washington,DC,511210,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,149500,448500,,COMPUTER ASSOCIATES INTERNATIO,GSH0015AA0145,Option,GSA funded,TBD,,FY 2016-3rd Quarter,STEVE GILLESPIE,steve.gillespie@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Bomgar Annual Renewal Maintenance B300 Appliance & 45 Enterprise Edition,Washington,DC,511210,To Be Determined,To Be Determined,To Be Determined,To Be Determined,20000,20000,,,,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,STEVE GILLESPIE,steve.gillespie@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Tableau Maintenance,Washington,DC,511210,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,80000,84000,,Triad Technology Partners,GSH0015AA0167,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Steward Fisk,stewart.fisk@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,"EagleSoft annual software mainteN/Ance renewal for T120 Tape Backup Libraries for the GSA Stennis Data Center at the Stennis Space Center, Stennis, MS",Salina,KS,423430,Small Business,Firm Fixed Price,Purchase Order,Not Competed,10001.6,10000,,Eagle Software Inc.,GS00H15AAP0051,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,"EagleSoft annual software mainteN/Ance renewal for T120 Tape Backup Libraries for the GSA Fort Worth, TX Data Center",Salina,KS,423430,Small Business,Firm Fixed Price,Purchase Order,Not Competed,8301.2,8400,,"EAGLE Software, Inc.",GS00H15AAP0050,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,JBoss SOA ESB Platform Support Renewal mainteN/Ance. POP: 1/24/15 - 1/23/16,Washington,DC,541511,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,22109.22,40000,,Carahsoft Technology,GSH0015AA0100,New Requirement,GSA funded,TBD,,FY 2016-2nd Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,POWERBUILDER Maintenance Renewal,Washington,DC,443120,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Limited Sources,6200,6500,,"SAP NATIONAL SECURITY SERVICES, INC.",GSH0015AA0173,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,ICEfaces EE Premium Software Renewal,Washington,DC,541511,Small Business,Firm Fixed Price,Purchase Order,Sole Source,9600,15500,,ICESOFT TECHNOLOGIES INC,GS00H15AAP0079,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Commvault Software Premium Support Coverage,Washington,DC,423430,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,30000,50000,,GEN3I,GS00H15AAP0090,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Solar Winds Annual Maintenance Renewal,Washington,DC,541519,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,8000,20000,,"DLT SOLUTIONS, LLC",GSH0015AA0187,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,VMware vSphere5 Enterprise Software Maintenance Renewal,Washington,DC,541519,To Be Determined,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,38000,60000,,"AUGUST SCHELL ENTERPRISES, INC.",GSH0015AA0224,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Renewal of Varonis Data Governance Suite,Washington,DC,811212,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,10000,13000,,Namtek Corp,GS00H15AAP0081,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,SureSync Renewal,Washington,DC,511210,Small Business,Firm Fixed Price,Purchase Order,Sole-Source,7500,12000,,SOFTWARE PURSUITS,GS00H15AAP0093,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,ImageNow Software Maintenance Renewal,Washington,DC,511210,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Limited Sources,82000,123000,,Perceptive Software,GSH0015AA0131,New Requirement,GSA funded,TBD,,FY 2016-2nd Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Command Line Perpetual Licenses Maintenance Renewal,Washington,DC,511210,Small Business,Firm Fixed Price,Purchase Order,Competed under SAP,3100,6600,,Four Points Technology,GS00H15AAP0064,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Teresa Halsell,teresa.halsell@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OMA-Office of Mission Assurance,Central Office,Option Exercise Pending,Support for Personnel Security Branch,Washington,DC,,Small Business,Firm Fixed Price,Purchase Order,Set-Aside,420000,420000,,Armada,GS-H-00-14-AA-0475,Option,GSA funded,,,FY 2016-4th Quarter,Urline Richardson,urline.richardson@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Universal Imaging Utility [UIU] Renewal,Various,NATIONWIDE,511210,Small Business,Firm Fixed Price,Order under GSA Schedules Program,Competitive Schedule Buy,25000,27000,,Professional Information Systems,GSH0015AA0164,New Requirement,GSA funded,TBD,,FY 2016-4th Quarter,Wayne Smedley,wayne.smedley@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Bit9 Subscription Service and Maintenance,Various,NATIONWIDE,511210,Other Than Small,Firm Fixed Price,Purchase Order,Competed under SAP,243000,251000,,ImmixTechnology,GS00H15AAP0067,New Requirement,GSA funded,TBD,,FY 2016-3rd Quarter,Wayne Smedley,wayne.smedley@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Various BMC Hardware,Washington,DC,423430,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,100000,105000,,Various,Various,New Requirement,GSA funded,TBD,,FY 2016-Quarter To Be Determined,Wayne Smedley,wayne.smedley@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
CIO-Office of the Chief Information Officer,Central Office,Planning,Provide Onsite Support for ETS2,Bellevue,WA,481111,Other Than Small,Firm Fixed Price,Order under GSA Schedules Program,Full and Open,260000,300000,,Concur,GSH0015AA0054,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Wesley Moore,wesley.moore@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OGP-Office of Government-wide Policy,Central Office,Drafting Solicitation,"Web-based Building Evaluation Report (WebBER) and Physical Hosting, Maintenance & Support (PCS)",Washington,DC,541519,To Be Determined,Firm Fixed Price,,,0,0,,,,To Be Determined,To Be Determined,,,FY 2016-Quarter To Be Determined,,,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OGP-Office of Government-wide Policy,Central Office,Planning,Success Estimator (Perpetual) Software Maintenance,Washington,DC,423430,To Be Determined,Firm Fixed Price,GSA Schedule,Competitive Schedule Buy,50000,60000,,,,To Be Determined,GSA funded,,,FY 2016-3rd Quarter,,,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,CFOC Contract Support,Washington,DC,,To Be Determined-BPA,Fixed Price Level of Effort,Blanket Purchase Agreement-BPA,,1730997.4,4114440.8,,LMI on CTA (SRA),RFQ GS-H1E-Q-14-0283,To Be Determined,GSA funded,,,FY 2016-Quarter To Be Determined,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MX-Tony Butcher - Council
OGP-Office of Government-wide Policy,Central Office,Planning,HR LOB Business Requirements Analysis,Washington,DC,,To Be Determined,Firm Fixed Price,To Be Determined,,800000,800000,,,,To Be Determined,GSA funded,,,FY 2016-Quarter To Be Determined,Maleka Greene,Maleka.Greene@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",ME-Ryan Swann
OGP-Office of Government-wide Policy,Central Office,Drafting Solicitation,Support Services for MVAA (Entity-level reviews for PMR Division)  PMR A-123 Support,Washington,DC,541611,Small Business,FFP with an optional T&M CLIN,OASIS Small Business Contract,Competed,269426.5,1437924.4,1437924.4,PwC,,New Requirement,GSA funded,2015-12-01,,FY 2016-1st Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Suzanne Winnard; 262X funds.  This requirement will be competed using the OASIS SB contract.
OGP-Office of Government-wide Policy,Central Office,Planning,Legal database used by the FAR staff.  Subscription: Online Acquisition Research Services NOTE:- Note:  The contract expires 9/29/15 - estimated costs provided. [automatic increases],Washington,DC,541511,Other than small,FFP  ,Order under GSA Schedule contract,Not available for competition,16400,16400,16400,West Publishing Corp. (Westlaw),,New Requirement,GSA funded,2016-05-01,,FY 2016-4th Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Suzanne Winnard; 151 funds
OGP-Office of Government-wide Policy,Central Office,Planning,VAO / Acquisition Solutions Subscription.  ASI Subscription for  OAP,Washington,DC,541511,Other than small,FFP  ,Order under GSA Schedule contract,Not available for competition,44100,44100,44100,Acquisition Solutions (ASI),,Option,GSA funded,2016-01-01,,FY 2016-2nd Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Suzanne Winnard; 151 funds
OGP-Office of Government-wide Policy,Central Office,Planning,NCMA Subscription,Washington,DC,541511,Other than small,FFP  ,contract,Not available for competition,5578.65,5578.65,5578.65,NCMA,,New Requirement  ,GSA funded,2016-05-01,,FY 2016-3rd Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Suzanne Winnarde; 262X funds
OGP-Office of Government-wide Policy,Central Office,Planning,PMR ICAT Annual software support/maintenance.  PMR Services,Washington,DC,541511,Other than small,FFP  ,Order under GSA Schedule contract,Not available for competition,64461.88,193385.64,193385.64,Micropact,GSH1415AA0047,Option,GSA funded,2016-08-01,,FY 2016-4th Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Paul Floyd; 262X funds
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,S&D IQ case Management System and annual maintenance: GSA is changing the correspondence management system which the S&D system is part of; so S&D will need to fund a new system. - recurring [automatic increases],Washington,DC,Unknown,Small Business,FFP,Tech BPA,Competed amongst the BPA awardees,3500,7000,"$3,500-$7,000",None,,New Requirement,GSA funded,2016-11-01,,FY 2016-1st Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Michael Thompson; Unknown
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,OGP Program and Project Management Support,Washington,DC,541618,To Be Determined,FFP/LH,Order under GSA Schedule contract,Competed,551000,551000,,eGlobal Tech,,Option,GSA funded,2016-08-01,,FY 2016-4th Quarter,Maleka Greene,Maleka.Greene@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",ME-Latosha Frink
OGP-Office of Government-wide Policy,Central Office,Planning,Support for maintenance of FAC-P/PM program,Washington,DC,541618,To Be Determined,Firm Fixed Price,,,250000,300000,266184,Colleague,,To Be Determined,GSA funded,2016-08-01,,FY 2016-4th Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Beatrice Dukes; 262X funds 
OGP-Office of Government-wide Policy,Central Office,Planning,"Program support, O&M and DM&E support for the Regulatory Information Service Center (RISC) and the RISC Office of Information and Regulatory Affairs (OIRA) Consolidated Information System (ROCIS)",DMV,VARIOUS LOCATIONS,541511,Woman-Owned Small Business,Firm Fixed Price,Blanket Purchase Agreement-BPA,Follow On to Competed Action,2046000,2100000,,CyberData Technologies Inc,GS-001-12-AA-C-0172,Option,GSA funded,FY16 - 2nd Quarter,,FY 2016-2nd Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov",MV-Connie Jordan; 151A funds
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,Federal Acquisition Certification Program Courseware Delivery contract for Federal Acquisition workforce training program,Washington,NATIONWIDE,611430,Small Business,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Competitive Delivery Order,1000,3000000,,Ben Sellers dba FAC Academy,GS-00-H-14-AA-C-0073,Option,GSA funded,FY 2016-1st Quarter,,FY 2016-1st Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov","MV-Dennis Hafer; Ten (10) Multiple Award Contracts were executed in FY-14 with 4 option periods. Those vendors will be utilized for fair opportunity competitions for all training requirements for FAC-COR and FAC-PPM courses. While this is annotated as GSA funding, it is actually funded with Acquisition Workforce Training Funds (AWTF) which are non-appropriated GSA funds.  $3,000,000 per year for 5 years for all 10 contracts"
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,Federal Acquisition Certification Program Courseware Delivery contract for Federal Acquisition workforce training program,Washington,NATIONWIDE,611430,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Competitive Delivery Order,1000,3000000,,Gonzales McCaulley Investment Group (GMIG),GS-00-H-14-AA-C-0077,Option,GSA funded,FY 2016-1st Quarter,,FY 2016-1st Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov","MV-Dennis Hafer; Ten (10) Multiple Award Contracts were executed in FY-14 with 4 option periods. Those vendors will be utilized for fair opportunity competitions for all training requirements for FAC-COR and FAC-PPM courses. While this is annotated as GSA funding, it is actually funded with Acquisition Workforce Training Funds (AWTF) which are non-appropriated GSA funds.  $3,000,000 per year for 5 years for all 10 contracts"
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,Federal Acquisition Certification Program Courseware Delivery contract for Federal Acquisition workforce training program,Washington,NATIONWIDE,611430,Small Business,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Competitive Delivery Order,1000,3000000,,Houseman & Associates,GS-00-H-14-AA-C-0082,Option,GSA funded,FY 2016-1st Quarter,,FY 2016-1st Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov","MV-Dennis Hafer; Ten (10) Multiple Award Contracts were executed in FY-14 with 4 option periods. Those vendors will be utilized for fair opportunity competitions for all training requirements for FAC-COR and FAC-PPM courses. While this is annotated as GSA funding, it is actually funded with Acquisition Workforce Training Funds (AWTF) which are non-appropriated GSA funds.  $3,000,000 per year for 5 years for all 10 contracts"
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,Federal Acquisition Certification Program Courseware Delivery contract for Federal Acquisition workforce training program,Washington,NATIONWIDE,611430,Other Than Small,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Competitive Delivery Order,1000,3000000,,"Management Concepts, Inc (MCI)",GS-00-H-14-AA-C-0070,Option,GSA funded,FY 2016-1st Quarter,,FY 2016-1st Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov","MV-Dennis Hafer; Ten (10) Multiple Award Contracts were executed in FY-14 with 4 option periods. Those vendors will be utilized for fair opportunity competitions for all training requirements for FAC-COR and FAC-PPM courses. While this is annotated as GSA funding, it is actually funded with Acquisition Workforce Training Funds (AWTF) which are non-appropriated GSA funds.  $3,000,000 per year for 5 years for all 10 contracts"
OGP-Office of Government-wide Policy,Central Office,Option Exercise Pending,Federal Acquisition Certification Program Courseware Delivery contract for Federal Acquisition workforce training program,Washington,NATIONWIDE,611430,Small Business,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Competitive Delivery Order,1000,3000000,,Steven Tomanelli & Associates,GS-00-H-14-AA-C-0071,Option,GSA funded,FY 2016-1st Quarter,,FY 2016-1st Quarter,Anethra Facione,Anethra.Facione@gsa.gov,"Kevin Pope, 202-501-0246, kevin.pope@gsa.gov","MV-Dennis Hafer; Ten (10) Multiple Award Contracts were executed in FY-14 with 4 option periods. Those vendors will be utilized for fair opportunity competitions for all training requirements for FAC-COR and FAC-PPM courses. While this is annotated as GSA funding, it is actually funded with Acquisition Workforce Training Funds (AWTF) which are non-appropriated GSA funds. This vendor is Small and Veteran-Owned, but not SDVOSB.  $3,000,000 per year for 5 years for all 10 contracts"
